[2024-05-14 12:44:49.297] [INFO ] [APIEngine.java:204] server started on port 8000
[2024-05-14 14:14:32.025] [INFO ] [APIEngine.java:210] server started on port 8000
[2024-05-14 14:18:28.867] [INFO ] [APIEngine.java:210] server started on port 8000
[2024-05-14 14:21:09.541] [INFO ] [APIEngine.java:210] server started on port 8000
[2024-05-14 15:54:26.766] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 15:55:20.409] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 15:57:54.776] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 16:01:45.775] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 16:13:47.187] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 16:32:58.671] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 16:43:06.650] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 16:51:55.878] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 17:24:57.368] [INFO ] [APIEngine.java:212] server started on port 8000
[2024-05-14 18:00:19.626] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:03:53.004] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:11:50.573] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:16:52.446] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:18:16.050] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:23:56.944] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:34:06.038] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:53:31.990] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 18:54:56.089] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-14 23:57:38.949] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-15 10:52:55.986] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-15 12:58:55.579] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-15 13:02:37.372] [INFO ] [APIEngine.java:213] server started on port 8000
[2024-05-15 15:54:50.072] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-15 16:09:03.642] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-15 16:16:41.123] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-15 16:18:49.070] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-15 17:42:51.538] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 10:05:09.580] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 10:06:59.183] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 10:07:18.701] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 10:07:43.964] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 10:11:05.622] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:227] server started on port 8000
[2024-05-16 11:57:46.917] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:254] server started on port 8000
[2024-05-16 11:57:52.276] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:48] Method POST on /credential/post from 127.0.0.1:59596
[2024-05-16 11:57:59.930] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:117] Method POST on /discovery/post from 127.0.0.1:59612
[2024-05-16 11:58:42.347] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:150] Method GET on /discovery/run/1 from 127.0.0.1:42514
[2024-05-16 12:00:26.710] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:254] server started on port 8000
[2024-05-16 12:00:33.914] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:48] Method POST on /credential/post from 127.0.0.1:35812
[2024-05-16 12:00:38.599] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:117] Method POST on /discovery/post from 127.0.0.1:35820
[2024-05-16 12:00:43.801] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:150] Method GET on /discovery/run/1 from 127.0.0.1:57796
[2024-05-16 12:00:53.124] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:203] Method POST on /provision/run/1 from 127.0.0.1:38884
[2024-05-16 12:02:52.208] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/2 from 127.0.0.1:46114
[2024-05-16 12:02:57.604] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/1 from 127.0.0.1:46128
[2024-05-16 12:03:05.717] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/2 from 127.0.0.1:45478
[2024-05-16 12:46:37.076] [INFO ] [vert.x-eventloop-thread-1] [APIEngine.java:254] server started on port 8000
[2024-05-16 12:46:47.498] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:117] Method POST on /discovery/post from 127.0.0.1:33430
[2024-05-16 12:46:51.937] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:48] Method POST on /credential/post from 127.0.0.1:38042
[2024-05-16 12:46:54.123] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:117] Method POST on /discovery/post from 127.0.0.1:38054
[2024-05-16 12:46:58.970] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:150] Method GET on /discovery/run/1 from 127.0.0.1:38062
[2024-05-16 12:47:01.151] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:203] Method POST on /provision/run/1 from 127.0.0.1:35984
[2024-05-16 12:50:45.847] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/1 from 127.0.0.1:44198
[2024-05-16 12:50:49.683] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/2 from 127.0.0.1:44204
[2024-05-16 12:50:51.835] [DEBUG] [vert.x-eventloop-thread-1] [APIEngine.java:235] Method DELETE on /provision/delete/2 from 127.0.0.1:42936
